MACHINE_INSTANCE,HOURS
CLFTEA1,72
CLFTEA10,72
CLFTEA11,72
CLFTEA12,72
CLFTEA13,72
CLFTEA14,72
CLFTEA15,72
CLFTEA16,72
CLFTEA17,72
CLFTEA18,72
CLFTEA19,72
CLFTEA2,72
CLFTEA20,72
CLFTEA21,72
CLFTEA22,72
CLFTEA23,72
CLFTEA24,72
CLFTEA25,72
CLFTEA26,72
CLFTEA27,72
CLFTEA28,72
CLFTEA29,72
CLFTEA3,72
CLFTEA30,72
CLFTEA31,72
CLFTEA32,72
CLFTEA33,72
CLFTEA34,72
CLFTEA35,72
CLFTEA36,72
CLFTEA37,72
CLFTEA38,72
CLFTEA39,72
CLFTEA4,72
CLFTEA40,72
CLFTEA41,72
CLFTEA42,72
CLFTEA43,72
CLFTEA44,72
CLFTEA45,72
CLFTEA46,72
CLFTEA47,72
CLFTEA48,72
CLFTEA49,72
CLFTEA5,72
CLFTEA50,72
CLFTEA51,72
CLFTEA52,72
CLFTEA53,72
CLFTEA54,72
CLFTEA55,72
CLFTEA56,72
CLFTEA57,72
CLFTEA58,72
CLFTEA59,72
CLFTEA6,72
CLFTEA60,72
CLFTEA61,72
CLFTEA62,72
CLFTEA63,72
CLFTEA64,72
CLFTEA65,72
CLFTEA66,72
CLFTEA67,72
CLFTEA68,72
CLFTEA69,72
CLFTEA7,72
CLFTEA70,72
CLFTEA71,72
CLFTEA72,72
CLFTEA73,72
CLFTEA74,72
CLFTEA75,72
CLFTEA76,72
CLFTEA77,72
CLFTEA78,72
CLFTEA79,72
CLFTEA8,72
CLFTEA80,72
CLFTEA81,72
CLFTEA82,72
CLFTEA83,72
CLFTEA84,72
CLFTEA85,72
CLFTEA86,72
CLFTEA87,72
CLFTEA88,72
CLFTEA89,72
CLFTEA9,72
CLFTEA90,72
CLFTEA91,72
CLFTEA92,72
CLFTEA93,72
CLFTEA94,72
CLFTEA95,72
CLFTEA97,72
