Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5699218,PS61177RGRR-G2,N,N,N,15104,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5699219,PS61177RGRR-G2,N,N,N,14975,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5826244,S61087DRCR-G2Y,N,N,N,16554,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5826245,S61087DRCR-G2Y,N,N,N,16144,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5826243,S61087DRCR-G2Y,N,N,N,16575,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5826246,S61087DRCR-G2Y,N,N,N,15048,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844255,S61087DRCR-G2Y,N,N,N,16925,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844259,S61087DRCR-G2Y,N,N,N,11774,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844254,S61087DRCR-G2Y,N,N,N,16937,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5814301,62407QDRCRQ1-R,N,N,N,7138,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844252,S61087DRCR-G2Y,N,N,N,16918,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844256,S61087DRCR-G2Y,N,N,N,16937,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844253,S61087DRCR-G2Y,N,N,N,16931,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844257,S61087DRCR-G2Y,N,N,N,16939,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5788963,62407QDRCRQ1-R,N,N,N,6794,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5844258,S61087DRCR-G2Y,N,N,N,16939,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5842010,MP512AIRSAR-CK,N,N,N,6067,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
