Device,Target amount,Finished amount,Shortage,,error,,
BQ25040DQCR-G2,97231,97231,0,,0,100.0%,
BQ24777RUYR-G2,118276,128356,-10080,,8.522439041,108.5%,
BQ25892RTWR-G2,378384,378387,-3,,0.000792845,100.0%,
PS65148CRHBR-U,36955,36955,0,,0,100.0%,
24780SRUYR-G2K,106699,106699,0,,0,100.0%,
PS40428RHAR-G2,48608,48609,-1,,0.002057275,100.0%,
2592ZADRCR-G2K,59756,59758,-2,,0.003346944,100.0%,
65633BKRTER-G2,701546,436243,265303,,37.81690723,62.2%,
A6133A2RTJR-LK,20069,40912,-20843,,103.8566944,203.9%,wip not cut
24250RGER1-G2Y,65022,65022,0,,0,100.0%,
TPS2388RTQR-C,36690,38991,-2301,,6.271463614,106.3%,
25810RVCR1-G2P,172072,110277,61795,,35.91229253,64.1%,prio of other keydev
PS54218RTER3-C,271950,299572,-27622,,10.15701416,110.2%,wip not cut
7A8300RGRR-G2K,145373,145373,0,,0,100.0%,
