machine_instance,hours
CLFTEA1,48
CLFTEA10,48
CLFTEA11,48
CLFTEA12,48
CLFTEA13,48
CLFTEA14,48
CLFTEA15,48
CLFTEA16,48
CLFTEA17,48
CLFTEA18,48
CLFTEA19,48
CLFTEA2,48
CLFTEA20,48
CLFTEA21,48
CLFTEA22,48
CLFTEA23,48
CLFTEA24,48
CLFTEA25,48
CLFTEA26,48
CLFTEA27,48
CLFTEA28,48
CLFTEA29,48
CLFTEA3,48
CLFTEA30,48
CLFTEA31,48
CLFTEA32,48
CLFTEA33,48
CLFTEA34,48
CLFTEA35,48
CLFTEA36,48
CLFTEA37,48
CLFTEA38,48
CLFTEA39,48
CLFTEA4,48
CLFTEA40,48
CLFTEA41,48
CLFTEA42,48
CLFTEA43,48
CLFTEA44,48
CLFTEA45,48
CLFTEA46,48
CLFTEA47,48
CLFTEA48,48
CLFTEA49,48
CLFTEA5,48
CLFTEA50,48
CLFTEA51,48
CLFTEA52,48
CLFTEA53,48
CLFTEA54,48
CLFTEA55,48
CLFTEA56,48
CLFTEA57,48
CLFTEA58,48
CLFTEA59,48
CLFTEA6,48
CLFTEA60,48
CLFTEA61,48
CLFTEA62,48
CLFTEA63,48
CLFTEA64,48
CLFTEA65,48
CLFTEA66,48
CLFTEA67,48
CLFTEA68,48
CLFTEA69,48
CLFTEA7,48
CLFTEA70,48
CLFTEA71,48
CLFTEA72,48
CLFTEA73,48
CLFTEA74,48
CLFTEA75,48
CLFTEA76,48
CLFTEA77,48
CLFTEA78,48
CLFTEA79,48
CLFTEA8,48
CLFTEA80,48
CLFTEA81,48
CLFTEA82,48
CLFTEA83,48
CLFTEA84,48
CLFTEA85,48
CLFTEA86,48
CLFTEA87,48
CLFTEA88,48
CLFTEA89,48
CLFTEA9,48
CLFTEA90,0
CLFTEA91,0
CLFTEA92,48
CLFTEA93,48
CLFTEA94,48
CLFTEA95,0
CLFTEA97,48
CLFTEA98,0
CLFTEA99,0
