tooling_family,package,total_wip
,RGE          ,15216
,RSK300       ,5938
6484140A,RGT300LLF    ,90086
6487839B,RTV          ,85558
6487925B,RGY300       ,105649
6487925B,RHL          ,618625
6487925B,RHLST        ,30216
6505620C,DRCST        ,13900
6505771B,DRB          ,118624
6505771B,DRB300       ,50098
6506370A,DSGST        ,49674
6506370A,DSKST        ,25032
6506370A,DSKST300     ,135388
6511094C,DRB          ,42008
6513992A,RGTLLF       ,43811
6513992B,RGTLLF       ,168332
6515577B,RGY          ,71718
6518677A,RSB          ,15408
6520958B,RGB300       ,55743
6522212C,RTE          ,377730
6524040A,RTE300       ,242064
6525239A,RTE          ,32687
6525585A,RGE300       ,67680
6525585A,RGELLF       ,376416
6525600B,RHD          ,43173
6527607B,RGT300       ,295838
6541231B,RGR300       ,88176
6541533C,RSM300       ,271246
6543758C,RVECLIP      ,245458
6544140B,DPC          ,30114
6545253A,RGR300       ,68430
6546767B,RGPST        ,135637
6547181A,DRC          ,34284
6548880A,DPJST300     ,64492
6552808A,DSSST        ,510220
6553054A,DRCST300     ,37262
6554905A,DRCST        ,27646
6555551A,RGW300       ,20263
6555639A,RHR300       ,10142
6556725A,RGE300LLF    ,19780
6566885A,RGY300       ,124854
6568521A,RHB300       ,31497
6569306A,RTE300       ,575659
6570729C,RTQVTT       ,62244
6570774A,RSH          ,108904
6575258A,RGE300LLF    ,39487
6575577B,RGT          ,61486
6578688B,DPC          ,172152
6579768C,RTWST300     ,1479830
